,bhk,type,area,region,Price_in_Lakhs
0,3,Apartment,1300.0,Agripada,750.0
1,3,Apartment,1850.0,Agripada,850.0
2,4,Apartment,4000.0,Agripada,2500.0
3,3,Apartment,2210.0,Agripada,1585.0
4,4,Apartment,3100.0,Agripada,2000.0
5,3,Apartment,2210.0,Agripada,1150.0
6,4,Apartment,2990.0,Agripada,1698.0
7,3,Apartment,2710.0,Agripada,1400.0
8,3,Apartment,1350.0,Agripada,600.0
10,2,Apartment,638.0,Airoli,126.0
11,1,Apartment,465.0,Airoli,90.0
12,3,Apartment,949.0,Airoli,250.0
13,3,Apartment,949.0,Airoli,250.0
14,2,Apartment,695.0,Airoli,190.0
15,2,Apartment,695.0,Airoli,190.0
16,3,Apartment,949.0,Airoli,250.0
17,3,Apartment,949.0,Airoli,250.0
18,2,Apartment,695.0,Airoli,190.0
19,2,Apartment,695.0,Airoli,190.0
20,2,Apartment,1050.0,Airoli,235.0
24,2,Apartment,750.0,Airoli,140.0
25,2,Apartment,639.0,Airoli,202.0
26,2,Apartment,659.0,Airoli,210.0
27,2,Apartment,639.0,Airoli,175.0
28,3,Apartment,1155.0,Airoli,350.0
29,2,Apartment,900.0,Airoli,225.0
30,2,Apartment,659.0,Airoli,178.0
31,2,Apartment,659.0,Airoli,178.0
32,2,Apartment,639.0,Airoli,175.0
33,2,Apartment,639.0,Airoli,175.0
34,2,Apartment,719.0,Airoli,220.0
36,2,Apartment,810.0,Airoli,170.0
38,1,Apartment,636.0,Ambarnath,32.0
39,1,Apartment,498.0,Ambarnath,24.0
40,1,Apartment,692.0,Ambernath East,38.4
41,1,Apartment,745.0,Ambernath East,45.82
43,1,Apartment,503.0,Ambernath East,36.0
44,2,Apartment,625.0,Ambernath East,46.0
45,1,Apartment,610.0,Ambernath East,35.0
47,1,Apartment,675.0,Ambernath East,41.0
48,1,Apartment,600.0,Ambernath East,36.0
49,1,Apartment,730.0,Ambernath East,42.0
51,1,Apartment,650.0,Ambernath East,36.0
54,1,Apartment,479.0,Ambernath East,38.0
56,3,Apartment,1850.0,Ambernath East,114.0
61,1,Apartment,715.0,Ambernath East,41.0
63,1,Apartment,558.0,Ambernath East,33.0
64,1,Apartment,477.0,Ambernath East,30.0
65,1,Apartment,409.0,Ambernath East,23.0
67,1,Apartment,475.0,Ambernath East,31.5
68,1,Apartment,473.0,Ambernath East,29.0
69,1,Apartment,477.0,Ambernath East,29.51
71,1,Apartment,655.0,Ambernath East,39.3
72,1,Apartment,503.0,Ambernath East,43.0
74,1,Apartment,585.0,Ambernath East,34.0
76,1,Apartment,597.0,Ambernath East,35.0
78,1,Apartment,484.0,Ambernath East,34.0
82,1,Apartment,484.0,Ambernath East,31.0
83,1,Apartment,625.0,Ambernath East,35.0
84,1,Apartment,730.0,Ambernath East,40.0
85,3,Apartment,1150.0,Ambernath East,80.0
86,1,Apartment,557.0,Ambernath East,32.0
87,1,Apartment,461.0,Ambernath East,29.0
88,1,Apartment,503.0,Ambernath East,35.0
89,1,Apartment,503.0,Ambernath East,43.0
90,1,Apartment,730.0,Ambernath East,41.0
91,1,Apartment,730.0,Ambernath East,41.0
92,1,Apartment,477.0,Ambernath East,31.0
93,1,Apartment,557.0,Ambernath East,33.0
94,1,Apartment,557.0,Ambernath East,33.0
95,1,Apartment,557.0,Ambernath East,33.0
96,1,Apartment,597.0,Ambernath East,34.0
97,1,Apartment,597.0,Ambernath East,33.0
99,2,Apartment,694.0,Ambernath East,49.0
100,1,Apartment,522.0,Ambernath East,30.0
101,1,Apartment,505.0,Ambernath East,33.75
102,1,Apartment,445.0,Ambernath East,25.0
104,2,Apartment,699.0,Ambernath East,50.0
106,1,Apartment,515.0,Ambernath East,45.0
107,1,Apartment,515.0,Ambernath East,45.0
108,1,Apartment,515.0,Ambernath East,45.0
109,1,Apartment,385.0,Ambernath East,34.5
110,1,Apartment,397.0,Ambernath East,35.0
111,1,Apartment,380.0,Ambernath East,34.0
112,1,Apartment,501.0,Ambernath West,29.5
113,1,Apartment,399.0,Ambernath West,24.5
114,1,Apartment,440.0,Ambernath West,26.5
115,1,Apartment,464.0,Ambernath West,27.5
116,1,Apartment,422.0,Ambernath West,26.0
117,1,Apartment,650.0,Ambernath West,129.0
118,2,Apartment,1150.0,Ambernath West,90.0
119,2,Apartment,650.0,Ambernath West,50.0
120,1,Apartment,500.0,Ambernath West,32.0
121,1,Apartment,500.0,Ambernath West,33.0
122,2,Apartment,650.0,Ambernath West,51.0
123,1,Apartment,500.0,Ambernath West,33.5
124,1,Apartment,420.0,Ambernath West,30.0
125,3,Independent House,2045.0,Ambernath West,160.0
126,3,Independent House,2045.0,Ambernath West,120.0
127,1,Apartment,443.0,Ambernath West,26.0
128,1,Apartment,429.0,Ambernath West,26.0
129,1,Apartment,458.0,Ambernath West,40.0
130,1,Apartment,621.0,Ambernath West,40.0
131,1,Apartment,635.0,Ambernath West,40.0
132,1,Apartment,650.0,Ambernath West,45.0
133,3,Apartment,1062.0,Ambivali,75.0
152,3,Apartment,901.0,Andheri East,289.0
153,3,Apartment,901.0,Andheri East,289.0
154,3,Apartment,1011.0,Andheri East,319.0
155,3,Apartment,1011.0,Andheri East,319.0
156,3,Apartment,910.0,Andheri East,290.0
157,3,Apartment,910.0,Andheri East,290.0
162,2,Apartment,640.0,Andheri East,191.0
163,1,Apartment,430.0,Andheri East,120.0
164,2,Apartment,700.0,Andheri East,220.0
165,1,Apartment,400.0,Andheri East,119.0
166,2,Apartment,680.0,Andheri East,204.0
167,2,Apartment,700.0,Andheri East,260.0
176,3,Apartment,1300.0,Andheri East,398.0
181,3,Apartment,950.0,Andheri East,300.0
183,3,Apartment,901.0,Andheri East,296.0
184,2,Apartment,720.0,Andheri East,236.0
185,3,Apartment,1011.0,Andheri East,332.0
186,3,Apartment,910.0,Andheri East,299.0
187,2,Apartment,776.0,Andheri East,254.0
193,2,Apartment,818.0,Andheri East,330.0
194,3,Apartment,1321.0,Andheri East,531.0
195,2,Apartment,1016.0,Andheri East,405.0
196,1,Apartment,426.0,Andheri East,130.0
199,1,Apartment,451.0,Andheri East,145.0
201,2,Apartment,678.0,Andheri East,214.0
202,2,Apartment,716.0,Andheri East,218.0
205,3,Apartment,1185.0,Andheri East,400.0
206,2,Apartment,657.0,Andheri East,240.0
207,3,Apartment,937.0,Andheri East,330.0
213,3,Apartment,904.0,Andheri East,287.0
214,3,Apartment,1016.0,Andheri East,436.0
215,2,Apartment,818.0,Andheri East,357.0
216,3,Apartment,1321.0,Andheri East,573.0
226,1,Apartment,550.0,Andheri East,150.0
227,1,Apartment,550.0,Andheri East,150.0
231,3,Apartment,1166.0,Andheri East,360.0
239,2,Apartment,720.0,Andheri East,229.0
240,2,Apartment,718.0,Andheri East,229.0
241,2,Apartment,677.0,Andheri East,216.0
246,2,Apartment,722.0,Andheri East,245.0
247,1,Apartment,412.0,Andheri East,136.0
250,3,Apartment,1113.0,Andheri East,370.0
252,1,Apartment,495.0,Andheri East,142.0
253,1,Apartment,320.0,Andheri East,89.25
254,1,Apartment,326.0,Andheri East,90.5
255,2,Apartment,600.0,Andheri East,180.0
268,1,Apartment,424.0,Andheri East,124.0
281,2,Apartment,665.0,Andheri East,229.0
285,1,Apartment,530.0,Andheri East,175.0
286,2,Apartment,903.0,Andheri East,275.0
287,2,Apartment,903.0,Andheri East,275.0
288,2,Apartment,903.0,Andheri East,275.0
289,2,Apartment,903.0,Andheri East,275.0
292,1,Apartment,483.0,Andheri East,140.0
293,1,Apartment,483.0,Andheri East,140.0
294,1,Apartment,518.0,Andheri East,150.0
295,1,Apartment,518.0,Andheri East,150.0
296,2,Apartment,720.0,Andheri East,220.0
297,2,Apartment,722.0,Andheri East,245.0
298,1,Apartment,412.0,Andheri East,136.0
299,2,Apartment,691.0,Andheri East,235.0
302,1,Apartment,426.0,Andheri East,130.0
303,1,Apartment,451.0,Andheri East,145.0
305,2,Apartment,678.0,Andheri East,214.0
306,2,Apartment,716.0,Andheri East,218.0
307,2,Apartment,720.0,Andheri East,229.0
308,2,Apartment,718.0,Andheri East,229.0
309,2,Apartment,677.0,Andheri East,216.0
310,3,Apartment,1330.0,Andheri West,520.0
311,3,Apartment,1330.0,Andheri West,520.0
312,2,Apartment,680.0,Andheri West,247.0
314,2,Apartment,1200.0,Andheri West,475.0
317,4,Apartment,3100.0,Andheri West,1500.0
318,4,Apartment,3100.0,Andheri West,1500.0
319,5,Apartment,4000.0,Andheri West,1870.0
320,5,Apartment,4000.0,Andheri West,1870.0
321,3,Apartment,2400.0,Andheri West,1250.0
322,5,Apartment,4450.0,Andheri West,2800.0
324,5,Apartment,4450.0,Andheri West,2800.0
328,3,Apartment,2000.0,Andheri West,850.0
333,4,Apartment,2800.0,Andheri West,1500.0
334,4,Apartment,2500.0,Andheri West,1100.0
337,5,Apartment,2500.0,Andheri West,1300.0
340,2,Apartment,760.0,Andheri West,275.0
343,2,Apartment,760.0,Andheri West,275.0
344,2,Apartment,760.0,Andheri West,275.0
349,2,Apartment,665.0,Andheri West,239.0
350,2,Apartment,665.0,Andheri West,239.0
351,2,Apartment,1150.0,Andheri West,425.0
356,3,Apartment,1500.0,Andheri West,625.0
357,3,Apartment,1250.0,Andheri West,625.0
360,3,Apartment,910.0,Andheri West,364.0
363,4,Apartment,3400.0,Andheri West,2750.0
364,4,Apartment,3400.0,Andheri West,2750.0
365,2,Apartment,935.0,Andheri West,335.0
366,2,Apartment,950.0,Andheri West,390.0
367,2,Apartment,1000.0,Andheri West,400.0
369,4,Apartment,2250.0,Andheri West,1200.0
370,7,Apartment,6660.0,Andheri West,2950.0
371,8,Apartment,7500.0,Andheri West,5000.0
373,3,Apartment,1500.0,Andheri West,600.0
374,3,Apartment,1500.0,Andheri West,590.0
375,5,Apartment,3100.0,Andheri West,1500.0
376,3,Apartment,2000.0,Andheri West,1035.0
377,2,Apartment,748.0,Andheri West,265.0
380,2,Apartment,748.0,Andheri West,272.0
382,5,Apartment,3750.0,Andheri West,2500.0
383,3,Apartment,1964.0,Andheri West,1200.0
386,1,Apartment,375.0,Andheri West,145.0
387,1,Apartment,375.0,Andheri West,145.0
388,3,Apartment,1400.0,Andheri West,550.0
389,3,Apartment,1400.0,Andheri West,550.0
390,3,Apartment,1090.0,Andheri West,450.0
391,3,Apartment,1250.0,Andheri West,490.0
392,4,Apartment,1800.0,Andheri West,850.0
393,4,Apartment,3330.0,Andheri West,1475.0
394,4,Apartment,3330.0,Andheri West,1800.0
395,4,Apartment,2300.0,Andheri West,1100.0
396,4,Apartment,3050.0,Andheri West,1400.0
397,3,Apartment,1090.0,Andheri West,450.0
398,3,Apartment,1450.0,Andheri West,665.0
399,3,Apartment,1090.0,Andheri West,450.0
400,3,Apartment,1200.0,Andheri West,490.0
401,3,Apartment,1450.0,Andheri West,665.0
402,4,Apartment,1800.0,Andheri West,850.0
403,4,Apartment,3330.0,Andheri West,1475.0
404,4,Apartment,3330.0,Andheri West,1800.0
405,4,Apartment,2300.0,Andheri West,1100.0
406,4,Apartment,3050.0,Andheri West,1400.0
407,3,Apartment,1216.0,Andheri West,637.0
408,3,Apartment,1216.0,Andheri West,637.0
409,5,Apartment,2075.0,Andheri West,1087.0
412,3,Apartment,2000.0,Andheri West,1035.0
413,3,Apartment,1220.0,Andheri West,475.0
415,2,Apartment,1299.0,Andheri West,465.0
416,2,Apartment,1100.0,Andheri West,409.0
417,4,Apartment,3330.0,Andheri West,1475.0
418,4,Apartment,1800.0,Andheri West,1190.0
420,2,Apartment,780.0,Andheri West,281.0
422,2,Apartment,797.0,Andheri West,450.0
423,3,Apartment,1041.0,Andheri West,587.0
424,3,Apartment,1156.0,Andheri West,652.0
425,2,Apartment,665.0,Andheri West,249.0
427,4,Apartment,2900.0,Andheri West,1400.0
428,3,Apartment,2500.0,Andheri West,1225.0
429,5,Apartment,4552.0,Andheri West,2450.0
